Rk,School,Conf,G,W,L,SRS,SOS,Tm_Pts,Opp_Pts,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,ORtg,DRtg,AdjT,Luck,NetRtg,NetRtgNorm,LastFive,LastFiveNorm,OverEightScorers,OverEightScorersNorm,Experience,ExperienceNorm,,,,
127,Iowa State,B12,33,24,9,23.04,10.73,2652,2246,69.5,0.385,0.369,0.585,52.7,53.9,13.3,10.2,0.546,14.8,32.2,0.291,119.4,92.4,68.6,-0.048,12.62,0.759706191,3,0.5,6,1,2.85714,0.545521367,,,,
133,Kansas,B12,33,21,12,20.7,13.77,2515,2286,69.1,0.243,0.343,0.554,52.6,60.9,8.9,13.1,0.531,14.5,30.4,0.173,116,92.7,68.3,-0.024,15.48,0.859741168,2,0.25,4,0.333333333,2.8974,0.572921984,,,,
138,Kentucky,SEC,33,22,11,21.61,14.18,2815,2570,72.7,0.359,0.417,0.592,52.4,56.7,9.3,11.3,0.56,13.3,28.7,0.265,123.8,99.5,70.9,0.007,17.84,0.942287513,3,0.5,6,1,3,0.642750679,,,,
144,Liberty,CUSA,34,28,6,8.22,-1.39,2603,2138,67,0.293,0.485,0.602,49.2,61.2,9.8,7.7,0.589,13.7,20.7,0.194,112.5,98.9,65.3,0,0.41,0.332633788,5,1,6,1,2.8667,0.552027823,,,,
146,Lipscomb,ASun,34,25,9,5.06,-4.88,2697,2289,68,0.306,0.472,0.593,51.4,54.7,10.2,8,0.558,12.5,25.7,0.243,112.7,103.2,65.9,-0.028,-4.57,0.158447009,5,1,4,0.333333333,3.0667,0.688146137,,,,
155,Louisville,ACC,34,27,7,19.29,9.61,2672,2343,69,0.345,0.481,0.569,52.9,51.9,9.3,8.1,0.534,14.2,32.2,0.257,118.1,95.5,68.7,0.058,10.34,0.679958027,4,0.75,4,0.333333333,3.52491,1,,,,
162,Marquette,BE,33,23,10,18.88,10.55,2537,2262,68.1,0.261,0.463,0.547,48.8,49.5,13.2,10.9,0.52,11.7,30.1,0.188,117.7,96.1,67.6,-0.013,12.5,0.755508919,2,0.25,4,0.333333333,2.63158,0.392007133,,,,
164,Maryland,B10,33,25,8,23.53,8.86,2695,2211,70.7,0.329,0.355,0.573,52.3,50.4,11.1,12,0.538,12.6,31,0.249,118.1,91.8,69.8,-0.038,10.93,0.700594614,4,0.75,5,0.666666667,2.73333,0.461257325,,,,
169,McNeese State,Slnd,33,27,6,8.88,-2.35,2549,2113,66.4,0.352,0.369,0.574,52.7,51,13.6,11.4,0.546,13.9,35.1,0.25,114.3,100.6,65.3,-0.023,-2.48,0.231549493,5,1,6,1,3.0667,0.688146137,,,,
170,Memphis,Amer,34,29,5,12.61,5.69,2725,2490,71.3,0.394,0.331,0.568,52.1,52,10.8,13.1,0.536,16.4,35.1,0.277,113.1,97.8,70.8,0.09,6.03,0.529206016,5,1,4,0.333333333,3.21429,0.788594646,,,,
176,Michigan,B10,34,25,9,20.16,13.13,2661,2422,70.6,0.35,0.425,0.577,53.3,58.5,7.7,9.3,0.545,17.2,33.2,0.255,116,93.7,69.4,0.07,14.84,0.837355719,3,0.5,5,0.666666667,2.75,0.472602786,,,,
177,Michigan State,B10,33,27,6,22.46,11.56,2579,2219,69.2,0.378,0.327,0.559,56.4,61.6,7.9,13.3,0.512,14.2,35.3,0.296,118.1,90.6,67.7,-0.009,13.34,0.784889822,4,0.75,4,0.333333333,2.1875,0.089770028,,,,
181,Mississippi,SEC,33,22,11,17.92,12.47,2547,2367,69.3,0.356,0.402,0.549,46.7,53.5,12.6,12.4,0.511,11.3,25.4,0.263,117.8,95.8,68,0.018,15.8,0.870933893,3,0.5,6,1,3.1875,0.770361598,,,,
182,Mississippi State,SEC,33,21,12,17.53,11.92,2632,2447,69.7,0.316,0.423,0.546,51.7,53.3,13.1,14.3,0.517,12.7,34.1,0.221,118.7,98.6,68.1,0.012,14.8,0.835956628,2,0.25,5,0.666666667,2.52941,0.322471092,,,,
184,Missouri,SEC,33,22,11,20.39,9.78,2787,2437,69.9,0.468,0.415,0.599,51.1,49.5,13.4,7.5,0.562,13.2,33.7,0.34,125.3,100.9,68.2,-0.048,13.03,0.77404687,1,0,5,0.666666667,2.5,0.302454894,,,,
187,Montana,BSky,34,25,9,-1.14,-1.92,2614,2480,68,0.354,0.37,0.598,49.4,49.1,9.2,8.5,0.568,14.5,23.8,0.26,110.8,110.4,67,0.186,-2.22,0.240643582,4,0.75,6,1,2.75,0.472602786,,,,
191,Mount St. Mary's,MAAC,34,22,12,-7.79,-7.28,2392,2373,68,0.316,0.41,0.547,53.1,60.7,8.9,8.2,0.514,19.1,31.5,0.232,100.1,106.8,67.4,0.147,-7.26,0.064358167,4,0.75,5,0.666666667,2.3333,0.189000279,,,,
199,New Mexico,MWC,33,26,7,15.15,5.96,2681,2335,73.2,0.372,0.323,0.546,52.7,52.2,12,14.2,0.515,13.3,31.9,0.255,112.5,95.2,72.7,0,6.29,0.538300105,4,0.75,5,0.666666667,2.375,0.217380948,,,,
205,Norfolk State,MEAC,34,24,10,-3.63,-7.5,2627,2345,68.2,0.388,0.288,0.577,51.8,50.3,10.1,9.1,0.537,15.6,32.6,0.293,107.1,108.7,66.3,0.056,-7.23,0.065407485,4,0.75,4,0.333333333,3.07692,0.695101782,,,,
207,North Carolina,ACC,35,22,13,17.16,11.33,2828,2624,70.8,0.348,0.37,0.575,52.1,51,8.3,9.7,0.542,13.3,29.2,0.257,118.9,99.3,70.4,-0.019,12.18,0.744316194,3,0.5,5,0.666666667,2.4667,0.279791195,,,,
