Distance Range,Attempts,Made,Field Goal Percentage
Less Than 5 ft,72835,46507,63.852543420059035
5-9 ft,25983,11184,43.043528460916754
10-14 ft,17941,7984,44.50142132545566
15-19 ft,12648,5336,42.188488298545224
20-24 ft,33387,12870,38.547937820109624
25-29 ft,53878,19438,36.077805412227626
30-34 ft,1377,391,28.39506172839506
35-39 ft,152,17,11.18421052631579
40+ ft,499,12,2.404809619238477
