Distance Range,Attempts,Made,Field Goal Percentage
Less Than 5 ft,73498,40013,54.440937168358325
5-9 ft,19015,8059,42.3823297396792
10-14 ft,21938,8714,39.72103199927067
15-19 ft,30819,12724,41.28621953989422
20-24 ft,39148,15102,38.576683355471545
25-29 ft,3474,1118,32.18192285549799
30-34 ft,158,19,12.025316455696203
35-39 ft,140,9,6.428571428571428
40+ ft,399,16,4.010025062656641
